s,x,y,kappa
0.64,0.38517725139033065,0.9752826723549268,0.3268084110022978
0.65,0.3892461649422797,0.9844173871052073,0.37351515517070916
0.66,0.39322310993342274,0.9935925295190012,0.39776061986780387
0.67,0.397122059410867,1.0028010974816088,0.39874819957547364
0.68,0.4009562763002559,1.012036814469258,0.37745883474986613
0.69,0.40473831459485904,1.0212940274226272,0.3365294485162599
0.7,0.40847999420780046,1.0305676310360705,0.279823562053604
0.71,0.4121923844126032,1.0398530016026186,0.21181697215417214
0.72,0.41588579326998915,1.0491459404793138,0.136944393436538
0.73,0.41956976103809973,1.0584426269434744,0.05904242603428841
0.74,0.42325305612298936,1.0677395800012761,-0.019065902865562145
0.75,0.426943672591951,1.07703362857589,-0.09582496728475405
0.76,0.43064882865023313,1.0863218894169457,-0.1710554333367364
0.77,0.43437496577987383,1.0956017520176156,-0.24596279229773516
0.78,0.4381277484659825,1.1048708697876177,-0.3230253086194134
0.79,0.44191206459861954,1.1141271567024038,-0.4056971221077686
0.8,0.4457320267447434,1.1233687886268717,-0.4978579138182491
0.81,0.4495909745413003,1.1325942084950111,-0.6029843800121096
0.82,0.45349147847380905,1.1418021345157743,-0.7231127258297056
0.83,0.4574353452822161,1.1509915705715712,-0.8578028567741313
0.84,0.46142362518238056,1.1601618179818924,-1.0034264181225445
0.85,0.465456621026361,1.1693124878164998,-1.153082424658127
0.86,0.4695339015902183,1.1784435117650438,-1.2973237391701928
0.87,0.47369817782355533,1.1875350258543333,-1.4256465977184467
0.88,0.4780785504430643,1.1965242946378847,-1.5284067931602785
0.89,0.48270951244951554,1.2053869787322666,-1.598638337078002
0.9,0.4876087747636939,1.2141042630129226,-1.6332501869695686
0.91,0.4926744399283824,1.2227261604982838,-1.6332733457773765
0.92,0.49787329978232375,1.2312684085813026,-1.6031488889456638
0.93,0.5032016544424734,1.2397304923730612,-1.5493527902597042
0.94,0.50865509932143,1.2481125126055923,-1.4788232695121601
0.95,0.5142285402940446,1.2564152347893198,-1.3976397897275703
0.96,0.5199162495629083,1.264640107616403,-1.3102395056051923
0.97,0.5257119211907526,1.2727892732741277,-1.2192191782979986
0.98,0.5316087240101508,1.2808655704138028,-1.1255910685650243
0.99,0.5375993499460351,1.2888725306707962,-1.0292953091924815
1.0,0.543676055978643,1.2968143698094103,-0.9297615392872762
1.01,0.5498306982010266,1.3046959746563347,-0.826383259729534
1.02,0.5560547566631083,1.3125228869889078,-0.7188668204599442
1.03,0.5623393499224215,1.320301285465135,-0.6074688931380833
1.04,0.5686752384247504,1.3280379665291504,-0.49315728558232563
1.05,0.5750528160061563,1.3357403250067659,-0.37772474193476097
1.06,0.5814620889386459,1.343416334827061,-0.2638277480551818
1.07,0.587892642039096,1.351074529970391,-0.15490126459094952
1.08,0.5943335914361708,1.3587239853491084,-0.054915138527193874
1.09,0.6007735236622392,1.3663742968677715,0.03204925491437983
1.1,0.6072004208346374,1.3740355593731692,0.10236034162738095
1.11,0.6136015718524613,1.3817183405753828,0.15345384378215746
1.12,0.6199634697760021,1.3894336483127263,0.18436236888022386
1.13,0.6262716884938829,1.3971928936759876,0.19598599259750013
